spelling,phonics,phat.f,phat.w,MCSE.w,MCSE.f
-5,-1,0.997,0.9975,0.001116635571706353,0.0012229063741758816
-4,-1,0.9885,0.992,0.001991983935678198,0.0023840878758971907
-3,-1,0.923,0.9345,0.005532167296819575,0.005961165993327143
-2,-1,0.709,0.7225,0.010012336140981284,0.010156746526324263
-1,-1,0.384,0.405,0.01097667982588542,0.010875293099498515
0,-1,0.116,0.128,0.007470475219154402,0.0071604469134265636
1,-1,0.041,0.048,0.0047799581588126895,0.004433903472111228
2,-1,0.078,0.084,0.0062025801083097675,0.005996498978570746
3,-1,0.2575,0.2805,0.010045390734063062,0.009777365442694672
4,-1,0.4785,0.506,0.01117953487404552,0.011169998880931009
5,-1,0.7155,0.7395,0.009814268948831592,0.010088601241004622
-5,0,0.9625,0.9655,0.00408103847078167,0.004248161366991606
-4,0,0.8515,0.8655,0.0076292119514403305,0.007951344225978397
-3,0,0.64,0.664,0.01056181802532121,0.01073312629199899
-2,0,0.344,0.365,0.01076510566599325,0.010622240818207805
-1,0,0.1265,0.14,0.00775886589650833,0.007432958697584697
0,0,0.05,0.0565,0.005162739098579358,0.004873397172404482
1,0,0.1115,0.1225,0.007331226022978693,0.007038030619427568
2,0,0.3345,0.3525,0.010682784047241618,0.010550112558641259
3,0,0.636,0.6545,0.010633196838204398,0.010758810343155975
4,0,0.855,0.863,0.007688660481514319,0.007873214083206426
5,0,0.954,0.9585,0.004459694496263168,0.0046842288586276416
-5,1,0.716,0.7365,0.009850577394244461,0.010083253443209686
-4,1,0.4755,0.5,0.011180339887498949,0.011166909823223253
-3,1,0.229,0.2485,0.00966301583357908,0.009395717109406818
-2,1,0.087,0.093,0.0064942667022536114,0.006302023484564303
-1,1,0.0345,0.04,0.004381780460041329,0.004081038470781672
0,1,0.1195,0.1295,0.007507654427316164,0.007253266505513223
1,1,0.375,0.3955,0.010933429242465514,0.010825317547305483
2,1,0.7185,0.736,0.009856571412007322,0.010056285347980138
3,1,0.9335,0.94,0.005310367218940704,0.005571254347092763
4,1,0.982,0.9845,0.0027622228367747558,0.002972877394041
5,1,0.998,0.998,9.989994994993746e-4,9.989994994993746e-4
-5,2,0.304,0.3305,0.010518311413910506,0.010285523807760107
-4,2,0.1405,0.1535,0.00806032722660811,0.007770448828735699
-3,2,0.054,0.064,0.005472842040475863,0.005053909377897471
-2,2,0.0335,0.038,0.004275277768753745,0.004023540107914919
-1,2,0.0895,0.1,0.00670820393249937,0.006383171233799075
0,2,0.324,0.345,0.010629557845931316,0.010464798134699017
1,2,0.7135,0.7285,0.009944539959193687,0.010109840503192916
2,2,0.9305,0.936,0.00547284204047586,0.005686376262612245
3,2,0.991,0.9915,0.0020527725154044657,0.002111752826445369
4,2,0.9995,0.9995,4.99874984371065e-4,4.99874984371065e-4
5,2,1,1,0,0
-5,3,0.075,0.083,0.006168914004912048,0.005889609494694873
-4,3,0.03,0.0345,0.004081038470781672,0.00381444622455213
-3,3,0.024,0.028,0.0036889022757454555,0.00342227994179319
-2,3,0.046,0.054,0.005053909377897471,0.00468422885862764
-1,3,0.235,0.251,0.009695333929267212,0.009480901855836289
0,3,0.624,0.65,0.01066536450385077,0.010831066429488834
1,3,0.9175,0.926,0.005853375094763702,0.0061519813881382975
2,3,0.9945,0.9955,0.0014966211945579198,0.0016537457482938467
3,3,0.999,0.9995,4.99874984371065e-4,7.067531393633852e-4
4,3,1,1,0,0
5,3,1,1,0,0
-5,4,0.022,0.026,0.003558370413546066,0.003279939023823461
-4,4,0.0225,0.0235,0.0033873108803297047,0.0033161536454151216
-3,4,0.0305,0.034,0.0040524066923249445,0.0038451105315712316
-2,4,0.1335,0.1455,0.007884470495854494,0.007605187374417543
-1,4,0.469,0.498,0.011180250444422075,0.011158830583891844
0,4,0.85,0.8635,0.007676840170278393,0.007984359711335657
1,4,0.984,0.9865,0.0025804796065847873,0.00280570846668003
2,4,1,1,0,0
3,4,1,1,0,0
4,4,1,1,0,0
5,4,1,1,0,0
-5,5,0.019,0.022,0.003279939023823461,0.003052785613173647
-4,5,0.0285,0.0325,0.003965081966365891,0.0037207358143249033
-3,5,0.0755,0.0855,0.006252589463574272,0.005907611615534657
-2,5,0.31,0.334,0.010546184144039966,0.010341663309158734
-1,5,0.7295,0.7515,0.00966301583357908,0.009933019430163217
0,5,0.9585,0.9615,0.004302194207610808,0.004459694496263168
1,5,0.999,0.999,7.067531393633852e-4,7.067531393633852e-4
2,5,1,1,0,0
3,5,1,1,0,0
4,5,1,1,0,0
5,5,1,1,0,0
